rideId,date,idx,lat,lon,distM,speedKmh,elevM,cadence,powerW
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,0,,,0.0,0.0,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,1,,,31.3,8.4,,11.0,37.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,2,,,62.6,19.1,,31.0,122.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,3,,,93.9,22.2,,36.0,95.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,4,,,125.2,25.0,,52.0,117.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,5,,,156.5,25.8,,54.0,75.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,6,,,187.8,24.2,,57.0,57.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,7,,,219.1,10.0,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,8,,,250.4,18.3,,46.0,153.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,9,,,281.7,22.9,,78.0,156.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,10,,,313.0,22.4,,83.0,109.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,11,,,344.4,23.5,,73.0,129.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,12,,,375.7,23.1,,73.0,113.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,13,,,407.0,23.5,,74.0,118.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,14,,,438.3,25.6,,80.0,153.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,15,,,469.6,26.0,,73.0,135.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,16,,,500.9,25.6,,72.0,115.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,17,,,532.2,24.9,,70.0,112.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,18,,,563.5,24.4,,69.0,111.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,19,,,594.8,17.3,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,20,,,626.1,15.9,,57.0,95.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,21,,,657.4,14.1,,50.0,110.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,22,,,688.7,20.0,,79.0,156.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,23,,,720.0,20.5,,76.0,109.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,24,,,751.3,15.3,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,25,,,782.6,17.3,,70.0,148.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,26,,,813.9,22.9,,95.0,90.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,27,,,845.2,26.2,,95.0,156.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,28,,,876.5,27.5,,86.0,118.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,29,,,907.8,27.8,,76.0,67.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,30,,,939.1,23.2,,60.0,124.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,31,,,970.4,27.2,,74.0,116.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,32,,,1001.7,30.4,,78.0,129.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,33,,,1033.1,30.7,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,34,,,1064.4,29.5,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,35,,,1095.7,29.5,,70.0,146.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,36,,,1127.0,30.0,,63.0,187.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,37,,,1158.3,30.4,,64.0,136.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,38,,,1189.6,29.1,,64.0,94.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,39,,,1220.9,29.1,,71.0,107.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,40,,,1252.2,28.3,,70.0,90.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,41,,,1283.5,27.3,,77.0,57.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,42,,,1314.8,8.5,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,43,,,1346.1,25.1,,72.0,203.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,44,,,1377.4,28.1,,83.0,165.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,45,,,1408.7,30.5,,83.0,153.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,46,,,1440.0,32.0,,78.0,121.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,47,,,1471.3,29.7,,76.0,130.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,48,,,1502.6,27.8,,70.0,166.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,49,,,1533.9,26.4,,75.0,144.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,50,,,1565.2,27.3,,75.0,172.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,51,,,1596.5,29.8,,83.0,116.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,52,,,1627.8,26.8,,78.0,219.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,53,,,1659.1,27.2,,82.0,165.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,54,,,1690.4,31.9,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,55,,,1721.8,34.9,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,56,,,1753.1,37.3,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,57,,,1784.4,39.1,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,58,,,1815.7,39.8,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,59,,,1847.0,38.2,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,60,,,1878.3,34.5,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,61,,,1909.6,31.2,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,62,,,1940.9,27.8,,87.0,116.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,63,,,1972.2,26.0,,97.0,217.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,64,,,2003.5,25.9,,97.0,193.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,65,,,2034.8,24.7,,104.0,171.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,66,,,2066.1,24.7,,,184.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,67,,,2097.4,23.6,,102.0,116.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,68,,,2128.7,21.9,,84.0,124.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,69,,,2160.0,16.9,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,70,,,2191.3,17.5,,60.0,288.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,71,,,2222.6,22.0,,98.0,138.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,72,,,2253.9,23.4,,97.0,215.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,73,,,2285.2,25.5,,111.0,188.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,74,,,2316.5,26.6,,96.0,214.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,75,,,2347.8,25.6,,96.0,148.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,76,,,2379.2,27.0,,86.0,106.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,77,,,2410.5,29.7,,88.0,101.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,78,,,2441.8,33.8,,99.0,70.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,79,,,2473.1,37.5,,90.0,107.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,80,,,2504.4,40.2,,83.0,145.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,81,,,2535.7,43.4,,78.0,64.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,82,,,2567.0,46.8,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,83,,,2598.3,47.7,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,84,,,2629.6,48.6,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,85,,,2660.9,48.2,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,86,,,2692.2,43.0,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,87,,,2723.5,42.4,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,88,,,2754.8,36.8,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,89,,,2786.1,34.3,,55.0,216.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,90,,,2817.4,34.2,,60.0,310.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,91,,,2848.7,33.1,,61.0,199.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,92,,,2880.0,32.3,,79.0,263.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,93,,,2911.3,31.5,,78.0,267.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,94,,,2942.6,29.8,,85.0,228.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,95,,,2973.9,28.5,,81.0,253.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,96,,,3005.2,27.0,,77.0,256.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,97,,,3036.5,26.8,,76.0,280.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,98,,,3067.9,26.3,,74.0,293.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,99,,,3099.2,26.8,,83.0,161.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,100,,,3130.5,27.1,,85.0,138.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,101,,,3161.8,27.4,,86.0,106.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,102,,,3193.1,27.5,,,82.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,103,,,3224.4,26.3,,85.0,113.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,104,,,3255.7,25.7,,82.0,151.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,105,,,3287.0,26.7,,,142.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,106,,,3318.3,26.7,,0.0,0.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,107,,,3349.6,12.1,,,
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,108,,,3380.9,26.1,,67.0,382.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,109,,,3412.2,27.9,,88.0,186.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,110,,,3443.5,26.5,,85.0,141.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,111,,,3474.8,25.6,,95.0,129.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,112,,,3506.1,25.4,,94.0,121.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,113,,,3537.4,24.9,,91.0,94.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,114,,,3568.7,26.3,,83.0,150.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,115,,,3600.0,26.4,,79.0,125.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,116,,,3631.3,27.3,,76.0,95.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,117,,,3662.6,29.3,,80.0,105.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,118,,,3693.9,29.6,,83.0,93.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,119,,,3725.2,29.5,,,124.0
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,120,,,3756.6,28.5,,81.0,111.0
